protein,mll_full,mll_joint,lr
P37313-(DPPF)_sample_1,2.2623768825218007,1.5650490661989196,1.3946556326457622
P37313-(DPPF)_sample_2,2.409517546172423,1.6510108941570845,1.517013304030677
P37313-(DPPF)_sample_3,2.6910003404449325,1.7644692432161397,1.8530621944575856
P37313-(DPPF)_sample_4,2.7320718554008794,1.7935817639314422,1.8769801829388744
P37313-(DPPF)_sample_5,2.391512073694671,1.5721138749593204,1.638796397470701
P37313-(DPPF)_sample_6,2.4165367914197278,1.615867779128483,1.6013380245824895
P37313-(DPPF)_sample_7,2.2279927406270295,1.550997116219283,1.3539912488154928
P37313-(DPPF)_sample_8,2.536150569882161,1.7158652576378273,1.6405706244886678
P37313-(DPPF)_sample_9,2.632396103990927,1.6961056590700436,1.8725808898417666
P37313-(DPPF)_sample_10,2.768067580194792,1.7783173852297287,1.9795003899301267
P37387-(XYLF)_sample_1,2.2291117063713797,1.5730027703007845,1.3122178721411903
P37387-(XYLF)_sample_2,2.1922748554465628,1.4975681326056611,1.3894134456818032
P37387-(XYLF)_sample_3,2.6568400053584234,1.598380838229777,2.1169183342572926
P37387-(XYLF)_sample_4,2.2196768395081756,1.4464428014039308,1.5464680762084897
P37387-(XYLF)_sample_5,2.2390823970374765,1.5410543660749403,1.3960560619250724
P37387-(XYLF)_sample_6,2.3786807175268603,1.6228722217746698,1.511616991504381
P37387-(XYLF)_sample_7,2.343579796864333,1.6526708483561028,1.38181789701646
P37387-(XYLF)_sample_8,2.275414881981041,1.460216567444376,1.6303966290733305
P37387-(XYLF)_sample_9,2.013057078482569,1.4329396154503675,1.1602349260644034
P37387-(XYLF)_sample_10,2.3247326774657795,1.6324010250577885,1.384663304815982
P37626-(YHII)_sample_1,2.389903357875332,1.5979428008762602,1.5839211139981435
P37626-(YHII)_sample_2,2.53829805878478,1.6633643353405427,1.7498674468884743
P37626-(YHII)_sample_3,2.359877112866216,1.4490349289966267,1.8216843677391785
P37626-(YHII)_sample_4,2.309053362236651,1.5629543308954335,1.492198062682435
P37626-(YHII)_sample_5,2.5262327091559684,1.6539509006284514,1.744563617055034
P37626-(YHII)_sample_6,2.337466334216332,1.6093465442894688,1.4562395798537264
P37626-(YHII)_sample_7,2.0457563593889394,1.436255321462513,1.219002075852853
P37626-(YHII)_sample_8,2.577548100871369,1.609813169461277,1.9354698628201845
P37626-(YHII)_sample_9,2.74536053849804,1.656575495189063,2.1775700866179544
P37626-(YHII)_sample_10,2.2933018356623602,1.5675716259868016,1.4514604193511174
P37642-(YHJD)_sample_1,2.32873691588902,1.6298085676557743,1.3978566964664911
P37642-(YHJD)_sample_2,2.376701478502204,1.558321653161975,1.6367596506804576
P37642-(YHJD)_sample_3,2.4245185138199066,1.565821371408117,1.717394284823579
P37642-(YHJD)_sample_4,2.1289151481045967,1.5083443340756049,1.2411416280579837
P37642-(YHJD)_sample_5,1.8938215711981043,1.491111340170131,0.8054204620559466
P37642-(YHJD)_sample_6,2.586548080178945,1.5829063396670984,2.007283481023693
P37642-(YHJD)_sample_7,2.373562555359044,1.4574140174318027,1.8322970758544823
P37642-(YHJD)_sample_8,2.627207113769612,1.7055895981222002,1.8432350312948231
P37642-(YHJD)_sample_9,2.7386215012467394,1.7599772536895875,1.957288495114304
P37642-(YHJD)_sample_10,2.2223830112401393,1.6005682565488129,1.2436295093826528
P39177-(USPG)_sample_1,2.4412265898848595,1.7062746131633735,1.469903953442972
P39177-(USPG)_sample_2,2.287668861933668,1.614069521222035,1.347198681423266
P39177-(USPG)_sample_3,2.410602785037459,1.662038157173484,1.49712925572795
