protein,lysate,lysate_MgCl2,joint
P0A6B7-(ISCS)_sample_8,1.4990935329474036,1.4710303516433507,1.8863787688236575
P0A6B7-(ISCS)_sample_9,1.54429004472956,1.561230589667557,2.0677155220747583
P0A6M4-(DTD)_sample_1,1.313479579772944,1.39580886061388,1.9039933812297425
P0A6M4-(DTD)_sample_10,1.4048773632717342,1.2978732943979858,1.8801584658278179
P0A6M4-(DTD)_sample_2,1.3341573617874094,1.4808897285291716,1.844557602972528
P0A6M4-(DTD)_sample_3,1.4943765731840435,1.5778116589777014,2.0319562474198394
P0A6M4-(DTD)_sample_4,1.549341411568066,1.2268480124485965,1.8931362316230917
P0A6M4-(DTD)_sample_5,1.3091238663005176,1.5945388444215893,1.9069398538453484
P0A6M4-(DTD)_sample_6,1.2389204036495058,1.1190631741562869,1.682512731654171
P0A6M4-(DTD)_sample_7,1.7292959525083498,1.4399733982246876,2.075683206868882
P0A6M4-(DTD)_sample_8,1.4633383181335697,1.3319832490741106,1.8430273864329039
P0A6M4-(DTD)_sample_9,1.2313046516637827,1.5206484876647437,1.8967591899562999
P0A6P7-(ENGB)_sample_1,1.6000207615767854,1.7451118435179964,2.280901140917099
P0A6P7-(ENGB)_sample_10,1.5885597270250889,1.4533964389859975,2.1103573242513387
P0A6P7-(ENGB)_sample_2,1.5979266529222216,1.52836086710327,2.214685158789779
P0A6P7-(ENGB)_sample_3,1.762595852079095,1.564289619176374,2.2575315289738005
P0A6P7-(ENGB)_sample_4,1.7313371342114507,1.622745673157445,2.2880558782422735
P0A6P7-(ENGB)_sample_5,1.529343386739285,1.6790824963915532,2.2259418212114914
P0A6P7-(ENGB)_sample_6,1.5304197350661761,1.686565759808327,2.2270564351560664
P0A6P7-(ENGB)_sample_7,1.5128154529596693,1.3689882870424142,2.1080662091508366
P0A6P7-(ENGB)_sample_8,1.5978283535632618,1.5962705321189357,2.1604830611160137
P0A6P7-(ENGB)_sample_9,1.6016977776751748,1.5145259486379103,2.1985635088558735
P0A6T9-(GCVH)_sample_1,0.8702329717474644,0.8324777927381766,1.2083539305146394
P0A6T9-(GCVH)_sample_10,0.7775643357816407,0.6475123459394222,1.0365194198723904
P0A6T9-(GCVH)_sample_2,0.7736897525600928,1.0090626305221397,1.2563149887511367
P0A6T9-(GCVH)_sample_3,0.8709763968098415,0.995194900354824,1.2596680193939591
P0A6T9-(GCVH)_sample_4,0.8524204799865538,1.026316234194813,1.249214033985787
P0A6T9-(GCVH)_sample_5,1.05732961987393,0.774138207940803,1.1937805050436125
P0A6T9-(GCVH)_sample_6,0.9510826994439168,1.077581029636409,1.372500505654261
P0A6T9-(GCVH)_sample_7,1.0494647567839754,1.02942297438765,1.2991815329029004
P0A6T9-(GCVH)_sample_8,1.2139589719732338,0.8397744406325056,1.3697091469092835
P0A6T9-(GCVH)_sample_9,1.0237153210776844,0.8733595760495361,1.3194152077461017
P0A6U5-(RSMG)_sample_1,1.228589740177622,1.5525028996833308,1.7642356744574879
P0A6U5-(RSMG)_sample_10,1.3580665287738165,1.461263025794174,1.7869470021000031
P0A6U5-(RSMG)_sample_2,1.4856132085231626,1.3089401986487095,1.8476292277844881
P0A6U5-(RSMG)_sample_3,1.438125440840184,1.3683665521495698,1.826493470481168
P0A6U5-(RSMG)_sample_4,1.2966588533964432,1.2147360642507976,1.6961961464614708
P0A6U5-(RSMG)_sample_5,1.188747219276055,1.5599660729692966,1.64781414250495
P0A6U5-(RSMG)_sample_6,1.2515426149229734,1.2831300513672261,1.669272139851332
P0A6U5-(RSMG)_sample_7,1.3644862444942685,1.4187774198285348,1.6995756378310218
P0A6U5-(RSMG)_sample_8,1.3357434822636256,1.3712185743615015,1.768370024162976
P0A6U5-(RSMG)_sample_9,1.154125205637654,1.2661151875024392,1.705201743733852
P0A6Y8-(DNAK)_sample_1,0.8100197676250792,0.9867056165195439,1.413026946237845
P0A6Y8-(DNAK)_sample_10,0.8633910329614246,0.8659431358527085,1.273712186632486
P0A6Y8-(DNAK)_sample_2,1.015196939760694,0.9466507499792313,1.476959208968698
P0A6Y8-(DNAK)_sample_3,0.986410593199045,0.8277003204265816,1.3409773941363052
P0A6Y8-(DNAK)_sample_4,1.1272907925017586,0.9889707699842856,1.4551227741869435
P0A6Y8-(DNAK)_sample_5,1.0207742117796665,1.0311303184419662,1.4884426410392422
P0A6Y8-(DNAK)_sample_6,0.8887032066682805,0.9444576802506258,1.3799127780067286
P0A6Y8-(DNAK)_sample_7,1.0166466281745958,1.06042818857453,1.4548840095284372
P0A6Y8-(DNAK)_sample_8,0.9650565731590782,0.8787212711658456,1.4081524726206947
P0A6Y8-(DNAK)_sample_9,1.3046327919595049,0.8733421806166107,1.20158135598204
P0A749-(MURA)_sample_1,1.4364315064280944,1.3438886165482316,2.0179538057077364
P0A749-(MURA)_sample_10,1.4731385036842573,1.5732734856798254,2.1392327126582273
P0A749-(MURA)_sample_2,1.7891503695554192,1.5205911333915907,2.269812377429951
P0A749-(MURA)_sample_3,1.5020059323270876,1.6302872465641882,2.2282076509480664
P0A749-(MURA)_sample_4,1.3815097037900068,1.328939007413904,2.0460962610224565
P0A749-(MURA)_sample_5,1.327212305231536,1.4345426394226075,2.0787053850391097
P0A749-(MURA)_sample_6,1.3259773224453908,1.4277288171014737,2.044851868449094
P0A749-(MURA)_sample_7,1.4026655268515702,1.7439354295123166,2.2218279796896803
P0A749-(MURA)_sample_8,1.4399005037267576,1.3285931399621815,1.9898468702915124
P0A749-(MURA)_sample_9,1.3544433588280222,1.5780302155502697,2.0878300049733616
P0A780-(NUSB)_sample_1,0.8824769669549766,0.7124343380501068,1.1962202054921818
P0A780-(NUSB)_sample_10,0.8635312436861733,1.100205137570794,1.330291271833904
P0A780-(NUSB)_sample_2,0.8473000610766459,0.9243489104293771,1.279494916334214
P0A780-(NUSB)_sample_3,0.7255021195475151,0.7868463461833276,1.2435546181531734
P0A780-(NUSB)_sample_4,1.0891564839595484,0.9363721051358106,1.4652738573740833
P0A780-(NUSB)_sample_5,0.7435437195303535,0.8521800308722011,1.1964013435528187
P0A780-(NUSB)_sample_6,0.9588685838729095,1.0296586527800575,1.2700733527812986
P0A780-(NUSB)_sample_7,1.2104372433591186,1.05194449852426,1.3956073264827742
P0A780-(NUSB)_sample_8,1.116812389393921,0.9576338629147778,1.4816939017882893
P0A780-(NUSB)_sample_9,0.8065342715040968,0.8846756447182812,1.2592683254334816
P0A786-(PYRB)_sample_1,0.8700664022486503,0.9944290717448276,1.3873579503379498
P0A786-(PYRB)_sample_10,0.9778389954644872,0.9330473066753717,1.3419318520002208
P0A786-(PYRB)_sample_2,1.0729915588100662,1.0548291669895216,1.3680233626189808
P0A786-(PYRB)_sample_3,0.9753317787259357,1.1006150810285305,1.3738375866237078
P0A786-(PYRB)_sample_4,1.1430271575902717,1.086072286162161,1.5594819059445513
P0A786-(PYRB)_sample_5,0.8602520849143738,0.7515140715230831,1.2747533433833287
P0A786-(PYRB)_sample_6,1.1536904828627754,0.8971842842122819,1.432595197332293
P0A786-(PYRB)_sample_7,1.1685934293662106,1.1521691010282373,1.5265290105165064
P0A786-(PYRB)_sample_8,0.9021242297250087,1.0454518187918092,1.3716419573417695
P0A786-(PYRB)_sample_9,0.8939864401393905,0.7830758271167273,1.2977085778037358
P0A7B8-(HSLV)_sample_1,0.8369950142072639,1.0877263414563103,1.2737619916277751
P0A7B8-(HSLV)_sample_10,0.6527142482957448,0.6615939137587421,1.0804430870695758
P0A7B8-(HSLV)_sample_2,0.7243102353741278,0.7920289255835685,1.0669699692551224
P0A7B8-(HSLV)_sample_3,0.8804034400129179,0.9433504387670467,1.253666329012088
P0A7B8-(HSLV)_sample_4,0.8945728835239259,0.712510158602789,1.099471413217455
P0A7B8-(HSLV)_sample_5,0.7747165644068039,0.9525934183657695,1.1691061669589602
P0A7B8-(HSLV)_sample_6,0.9301804935933426,0.9372512677115332,1.2667735967225677
P0A7B8-(HSLV)_sample_7,0.6779372893712738,1.002348132633764,1.1625006266171467
P0A7B8-(HSLV)_sample_8,0.674802496951747,0.8653905898746753,1.1512403066766674
P0A7B8-(HSLV)_sample_9,0.6796506426405116,0.7123205031494343,1.0255161978936493
P0A7J7-(RPLK)_sample_1,1.1191708170454466,1.2480732043863412,1.5813796149285722
P0A7J7-(RPLK)_sample_10,1.2649338654394682,1.42658985208883,1.7329214877369272
P0A7J7-(RPLK)_sample_2,1.131697406631328,1.1726754024117114,1.4963333058301223
P0A7J7-(RPLK)_sample_3,1.1848741167367165,0.9881847667426124,1.5470138997602636
