,condition,uniqueID,y,x
246,lysate,P00448-(SODA),0.7667402145564929,69.0
247,lysate,P00448-(SODA),0.6068311384996392,74.8
248,lysate,P00448-(SODA),0.2883593271354291,80.5
249,lysate,P00448-(SODA),0.2009459245188615,87.0
250,lysate,P00448-(SODA),1.0,37.0
251,lysate,P00448-(SODA),1.0402228141429346,40.4
252,lysate,P00448-(SODA),1.0388745333742877,46.9
253,lysate,P00448-(SODA),1.1926784098577528,52.9
254,lysate,P00448-(SODA),1.165084828287746,58.6
255,lysate,P00448-(SODA),1.1707594637172614,62.8
256,lysate,P00448-(SODA),0.8132609318823074,69.0
257,lysate,P00448-(SODA),0.6028324587320922,74.8
258,lysate,P00448-(SODA),0.2738550754169962,80.5
259,lysate,P00448-(SODA),0.1906753372193416,87.0
260,lysate,P00448-(SODA),1.0,37.0
261,lysate,P00448-(SODA),1.0734243893339346,40.4
262,lysate,P00448-(SODA),1.04938876142467,46.9
263,lysate,P00448-(SODA),1.2072622663581027,52.9
264,lysate,P00448-(SODA),1.1868067734223895,58.6
265,lysate,P00448-(SODA),1.1397232063229694,62.8
266,lysate,P00448-(SODA),0.8063611749308415,69.0
267,lysate,P00448-(SODA),0.6024445522364603,74.8
268,lysate,P00448-(SODA),0.2690603142385962,80.5
269,lysate,P00448-(SODA),0.169044847044583,87.0
270,MgCl2,P00448-(SODA),1.0,37.0
271,MgCl2,P00448-(SODA),1.0001785681889976,40.4
272,MgCl2,P00448-(SODA),1.0167810770286825,46.9
273,MgCl2,P00448-(SODA),0.925620204492103,52.9
274,MgCl2,P00448-(SODA),0.8008473652542722,58.6
275,MgCl2,P00448-(SODA),0.733721484216501,62.8
276,MgCl2,P00448-(SODA),0.6426296737779991,69.0
277,MgCl2,P00448-(SODA),0.4902731468951859,74.8
278,MgCl2,P00448-(SODA),0.2523792260077094,80.5
279,MgCl2,P00448-(SODA),0.1895946885980103,87.0
280,MgCl2,P00448-(SODA),1.0,37.0
281,MgCl2,P00448-(SODA),1.032776227642754,40.4
282,MgCl2,P00448-(SODA),1.0626626716547394,46.9
283,MgCl2,P00448-(SODA),0.9207948087579452,52.9
284,MgCl2,P00448-(SODA),0.8137471558975173,58.6
285,MgCl2,P00448-(SODA),0.7173157498511867,62.8
286,MgCl2,P00448-(SODA),0.7056155787259425,69.0
287,MgCl2,P00448-(SODA),0.5338044412145482,74.8
288,MgCl2,P00448-(SODA),0.2637533172336398,80.5
289,MgCl2,P00448-(SODA),0.1795858289063659,87.0
290,MgCl2,P00448-(SODA),1.0,37.0
291,MgCl2,P00448-(SODA),1.0016968140577638,40.4
292,MgCl2,P00448-(SODA),1.060672798352264,46.9
293,MgCl2,P00448-(SODA),0.9625557058277404,52.9
294,MgCl2,P00448-(SODA),0.7191032904337448,58.6
295,MgCl2,P00448-(SODA),0.6911621042084546,62.8
296,MgCl2,P00448-(SODA),0.6469321795139373,69.0
297,MgCl2,P00448-(SODA),0.5006684197760481,74.8
298,MgCl2,P00448-(SODA),0.2432012322643446,80.5
299,MgCl2,P00448-(SODA),0.17149528656544,87.0
300,lysate,P00452-(NRDA),1.0,37.0
301,lysate,P00452-(NRDA),1.0421769079424212,40.4
302,lysate,P00452-(NRDA),1.0233388327847317,46.9
303,lysate,P00452-(NRDA),0.4197735007259232,52.9
304,lysate,P00452-(NRDA),0.1092814724851572,58.6
305,lysate,P00452-(NRDA),0.0823245728629506,62.8
306,lysate,P00452-(NRDA),0.0411392887654066,69.0
307,lysate,P00452-(NRDA),0.0412912190553055,74.8
308,lysate,P00452-(NRDA),0.0357405535427898,80.5
309,lysate,P00452-(NRDA),0.0321221652003792,87.0
310,lysate,P00452-(NRDA),1.0,37.0
311,lysate,P00452-(NRDA),1.040891253118432,40.4
312,lysate,P00452-(NRDA),1.029066822125967,46.9
313,lysate,P00452-(NRDA),0.3870630454299943,52.9
314,lysate,P00452-(NRDA),0.1182665501646856,58.6
315,lysate,P00452-(NRDA),0.0789612232703071,62.8
316,lysate,P00452-(NRDA),0.0394332052911091,69.0
317,lysate,P00452-(NRDA),0.0363343560696561,74.8
318,lysate,P00452-(NRDA),0.0332594761470158,80.5
319,lysate,P00452-(NRDA),0.0308241063799251,87.0
